"award_name","award_type","award_country","award_year","film_title","film_year","film_director","film_country","film_main_genre","score","nvotes"
"Festival de Cannes","Festival","Francia","2018","Manbiki kazoku (Shoplifters)","2018","Hirokazu Koreeda","Japón","Drama","7.6","3747"
"Festival de Cannes","Festival","Francia","2017","The Square","2017","Ruben Östlund","Suecia","Comedia","6.5","7222"
"Festival de Cannes","Festival","Francia","2016","I, Daniel Blake","2016","Ken Loach","Reino Unido","Drama","7.1","8013"
"Festival de Cannes","Festival","Francia","2015","Dheepan","2015","Jacques Audiard","Francia","Drama","6.7","3510"
"Festival de Cannes","Festival","Francia","2014","Kis uykusu (Sommeil d'hiver)","2014","Nuri Bilge Ceylan","Turquía","Drama","7.4","3735"
"Festival de Cannes","Festival","Francia","2013","La vie d'Adèle - Chapitre 1 & 2 (Blue Is the Warmest Color)","2013","Abdellatif Kechiche","Francia","Romance","7.5","36017"
"Festival de Cannes","Festival","Francia","2012","Amour (Love)","2012","Michael Haneke","Austria","Drama","7.6","30151"
"Festival de Cannes","Festival","Francia","2011","The Tree of Life","2011","Terrence Malick","Estados Unidos","Drama","5.9","50884"
"Festival de Cannes","Festival","Francia","2010","Lung Boonmee raluek chat (Uncle Boonmee Who Can Recall His Past Lives)","2010","Apichatpong Weerasethakul","Tailandia","Fantástico","6.0","3728"
"Festival de Cannes","Festival","Francia","2009","Das weisse Band ","2009","Michael Haneke","Alemania","Drama","7.2","35790"
"Festival de Cannes","Festival","Francia","2008","Entre les murs","2008","Laurent Cantet","Francia","Drama","6.8","20393"
"Festival de Cannes","Festival","Francia","2007","4 luni, 3 saptamini si 2 zile (4 Months, 3 Weeks & 2 Days)","2007","Cristian Mungiu","Rumanía","Drama","7.2","18893"
"Festival de Cannes","Festival","Francia","2006","The Wind that Shakes the Barley","2006","Ken Loach","Irlanda","Bélico","7.1","20629"
"Festival de Cannes","Festival","Francia","2005","L'Enfant","2005","Jean-Pierre Dardenne, Luc Dardenne","Bélgica","Drama","7.1","6442"
